Symbol,"Expiry
Date","Last
Price",Change,"Chge
%","High
Low","Average
Price","Vol - Shares
 								Contracts","Value
(Rs. Lakh)","Open
Interest",Open Int Chg
INDUSINDBK,29-Mar-23,"1,034.25",7.60,0.74%,"1,046.75
 								1,025.75","1,037.01","8,810,550
 								19,579","91,366.28","25,605,450","-3,616,200
 -12.38%"
BANKBARODA,27-Apr-23,167.95,3.35,2.04%,"169.15
 								164.75",167.66,"8,242,650
 								1,409","13,819.63","12,676,950","1,269,450
 11.13%"
RELIANCE,29-Mar-23,"2,278.00",2.65,0.12%,"2,294.40
 								2,273.25","2,283.85","8,124,000
 								32,496","185,539.97","36,901,500","-1,822,500
 -4.71%"
L&TFH,29-Mar-23,85.90,0.15,0.17%,"87.20
 								85.75",86.44,"7,986,980
 								895","6,903.95","66,653,356","-883,476
 -1.31%"
SAIL,27-Apr-23,84.95,-2.05,-2.36%,"87.25
 								84.30",85.51,"7,904,000
 								988","6,758.71","11,048,000","3,200,000
 40.77%"
TATAMOTORS,29-Mar-23,417.30,2.65,0.64%,"419.45
 								415.15",417.38,"7,901,625
 								5,545","32,979.80","50,980,800","-1,782,675
 -3.38%"
TATASTEEL,27-Apr-23,105.75,-0.15,-0.14%,"106.90
 								105.25",106.18,"7,881,500
 								1,433","8,368.58","27,956,500","3,690,500
 15.21%"
AMBUJACEM,29-Mar-23,374.00,1.10,0.29%,"378.60
 								372.15",375.03,"7,468,200
 								4,149","28,007.99","56,718,000","-1,875,600
 -3.20%"
INFY,29-Mar-23,"1,396.15",-1.45,-0.10%,"1,413.05
 								1,387.50","1,397.48","7,257,200
 								18,143","101,417.92","33,019,200","-632,000
 -1.88%"
DLF,29-Mar-23,368.00,-0.50,-0.14%,"372.05
 								367.65",370.02,"6,972,900
 								4,226","25,801.12","40,350,750","-681,450
 -1.66%"
BPCL,29-Mar-23,352.95,-6.55,-1.82%,"360.45
 								351.80",354.11,"6,748,200
 								3,749","23,896.05","13,645,800","-64,800
 -0.47%"
ITC,29-Mar-23,378.00,-0.25,-0.07%,"378.55
 								374.90",377.19,"6,721,600
 								4,201","25,353.20","51,163,200","-1,296,000
 -2.47%"
BEL,29-Mar-23,92.35,-0.55,-0.59%,"93.50
 								92.05",92.55,"6,646,200
 								1,166","6,151.06","103,683,000","-1,077,300
 -1.03%"
HDFCLIFE,29-Mar-23,498.20,13.10,2.70%,"498.85
 								485.10",494.93,"6,491,100
 								5,901","32,126.40","20,854,900","-1,166,000
 -5.29%"
TATAPOWER,27-Apr-23,202.85,-1.45,-0.71%,"205.55
 								202.55",203.56,"6,456,375
 								1,913","13,142.60","12,177,000","4,144,500
 51.60%"
ABCAPITAL,27-Apr-23,157.50,3.20,2.07%,"158.70
 								153.25",156.45,"6,382,800
 								1,182","9,985.89","3,904,200","1,296,000
 49.69%"
MOTHERSON,27-Apr-23,65.95,-0.35,-0.53%,"67.10
 								65.65",66.52,"6,345,000
 								940","4,220.69","11,799,000","2,018,250
 20.63%"
NIFTY,29-Mar-23,"17,183.30",23.15,0.13%,"17,238.00
 								17,142.10","17,185.32","5,440,550
 								108,811","934,975.93","11,553,150","-741,950
 -6.03%"
ICICIBANK,27-Apr-23,865.80,6.30,0.73%,"867.45
 								858.00",862.99,"5,439,700
 								7,771","46,944.07","8,160,600","2,941,400
 56.36%"
NATIONALUM,27-Apr-23,78.10,-1.30,-1.64%,"79.40
 								77.95",78.58,"5,385,000
 								718","4,231.53","8,932,500","2,002,500
 28.90%"
MFSL,29-Mar-23,648.00,14.95,2.36%,"674.25
 								635.55",654.62,"5,235,100
 								8,054","34,270.01","4,122,300","-215,800
 -4.97%"
MANAPPURAM,27-Apr-23,120.55,2.70,2.29%,"121.50
 								118.10",120.18,"4,884,000
 								814","5,869.59","5,592,000","2,412,000
 75.85%"
BANDHANBNK,27-Apr-23,212.75,7.60,3.70%,"214.15
 								205.80",211.59,"4,854,600
 								2,697","10,271.85","5,266,800","1,053,000
 24.99%"
POWERGRID,29-Mar-23,224.45,0.15,0.07%,"225.55
 								221.70",223.58,"4,676,400
 								1,732","10,455.50","25,042,500","-340,200
 -1.34%"
ICICIPRULI,29-Mar-23,428.60,10.45,2.50%,"431.90
 								419.80",427.92,"4,545,000
 								3,030","19,448.96","15,297,000","-426,000
 -2.71%"
WIPRO,29-Mar-23,368.30,0.35,0.10%,"370.80
 								366.75",368.29,"4,531,500
 								3,021","16,689.06","31,797,000","-421,500
 -1.31%"
ZEEL,27-Apr-23,215.70,0.10,0.05%,"219.20
 								213.30",215.18,"4,518,000
 								1,506","9,721.83","10,863,000","2,769,000
 34.21%"
BHARTIARTL,29-Mar-23,760.15,0.45,0.06%,"764.30
 								756.10",759.37,"4,475,450
 								4,711","33,985.22","36,251,050","-1,691,950
 -4.46%"
HDFC,29-Mar-23,"2,585.25",-6.30,-0.24%,"2,597.00
 								2,572.65","2,581.71","4,440,600
 								14,802","114,643.41","19,772,400","-2,109,900
 -9.64%"
JUBLFOOD,29-Mar-23,448.05,1.10,0.25%,"450.30
 								435.65",444.47,"4,376,250
 								3,501","19,451.12","13,493,750","-185,000
 -1.35%"
ONGC,29-Mar-23,152.35,0.00,0.00%,"153.20
 								151.10",152.15,"4,354,350
 								1,131","6,625.14","30,268,700","-411,950
 -1.34%"
COALINDIA,27-Apr-23,215.90,-3.15,-1.44%,"218.75
 								214.90",216.01,"4,275,600
 								1,018","9,235.72","5,434,800","1,549,800
 39.89%"
INDUSTOWER,29-Mar-23,151.60,-1.05,-0.69%,"153.75
 								150.95",152.12,"4,261,600
 								1,522","6,482.75","25,096,400","-627,200
 -2.44%"
GRASIM,29-Mar-23,"1,614.00",0.20,0.01%,"1,618.55
 								1,603.00","1,610.39","4,218,475
 								8,881","67,933.90","7,321,175","-3,530,200
 -32.53%"
BHEL,27-Apr-23,74.70,-2.00,-2.61%,"77.20
 								74.65",75.52,"4,105,500
 								391","3,100.47","7,885,500","1,774,500
 29.04%"
ABFRL,29-Mar-23,217.50,-1.30,-0.59%,"221.90
 								216.70",218.82,"4,102,800
 								1,578","8,977.75","20,563,400","-785,200
 -3.68%"
AXISBANK,27-Apr-23,858.70,-3.90,-0.45%,"868.05
 								855.80",858.93,"4,100,400
 								3,417","35,219.57","5,190,000","3,008,400
 137.90%"
PFC,27-Apr-23,153.80,0.15,0.10%,"155.65
 								153.05",154.21,"4,048,600
 								653","6,243.35","8,450,600","-24,800
 -0.29%"
VEDL,27-Apr-23,286.95,0.60,0.21%,"289.80
 								282.70",286.84,"4,048,000
 								2,024","11,611.28","4,730,000","1,884,000
 66.20%"
SBIN,27-Apr-23,526.40,-1.25,-0.24%,"531.70
 								525.45",528.55,"3,988,500
 								2,659","21,081.22","10,560,000","1,168,500
 12.44%"
IEX,29-Mar-23,150.20,-0.75,-0.50%,"151.70
 								149.60",150.53,"3,915,000
 								1,044","5,893.25","34,076,250","-780,000
 -2.24%"
KOTAKBANK,27-Apr-23,"1,718.70",-3.45,-0.20%,"1,725.30
 								1,708.95","1,717.42","3,908,000
 								9,770","67,116.77","10,162,800","3,392,400
 50.11%"
INDHOTEL,29-Mar-23,316.15,-3.35,-1.05%,"320.90
 								313.10",316.70,"3,792,000
 								1,896","12,009.26","21,236,000","-280,000
 -1.30%"
GRASIM,27-Apr-23,"1,625.55",2.80,0.17%,"1,628.20
 								1,614.05","1,620.51","3,733,025
 								7,859","60,494.04","3,826,600","3,538,275
 1,227.18%"
TATAMOTORS,27-Apr-23,419.60,2.60,0.62%,"421.75
 								417.65",419.57,"3,648,000
 								2,560","15,305.91","7,692,150","1,779,825
 30.10%"
INDUSINDBK,27-Apr-23,"1,040.00",8.05,0.78%,"1,052.50
 								1,032.75","1,043.34","3,639,150
 								8,087","37,968.71","4,694,400","2,788,650
 146.33%"
JINDALSTEL,29-Mar-23,557.50,-3.10,-0.55%,"566.75
 								557.05",560.95,"3,556,250
 								2,845","19,948.78","14,665,000","-528,750
 -3.48%"
NTPC,27-Apr-23,176.15,-2.25,-1.26%,"178.50
 								175.50",176.60,"3,534,000
 								620","6,241.04","5,141,400","1,664,400
 47.87%"
BAJAJFINSV,29-Mar-23,"1,295.55",20.90,1.64%,"1,319.80
 								1,272.25","1,302.22","3,433,500
 								6,867","44,711.72","8,698,000","-381,000
 -4.20%"
MUTHOOTFIN,29-Mar-23,966.55,-3.65,-0.38%,"974.40
 								960.50",968.61,"3,432,000
 								6,240","33,242.70","7,707,700","6,600
 0.09%"
IOC,27-Apr-23,80.35,-0.10,-0.12%,"80.60
 								79.80",80.22,"3,373,500
 								346","2,706.22","9,555,000","1,560,000
 19.51%"
ADANIPORTS,29-Mar-23,658.45,-10.00,-1.50%,"672.15
 								657.20",662.65,"3,310,000
 								5,296","21,933.72","34,230,625","-606,875
 -1.74%"
ASHOKLEY,27-Apr-23,139.40,2.50,1.83%,"140.20
 								137.35",139.33,"3,235,000
 								647","4,507.33","6,950,000","790,000
 12.82%"
RECLTD,27-Apr-23,119.50,-0.25,-0.21%,"120.90
 								119.30",120.08,"3,176,000
 								397","3,813.74","5,016,000","808,000
 19.20%"
APOLLOTYRE,29-Mar-23,315.85,-2.35,-0.74%,"320.35
 								314.15",317.41,"3,174,500
 								907","10,076.18","13,436,500","-98,000
 -0.72%"
INDIACEM,29-Mar-23,182.05,1.00,0.55%,"183.60
 								180.80",182.18,"3,161,000
 								1,090","5,758.71","16,483,600","-234,900
 -1.41%"
SBILIFE,29-Mar-23,"1,114.95",12.00,1.09%,"1,128.90
 								1,104.80","1,118.81","3,106,500
 								4,142","34,755.83","5,752,500","-448,500
 -7.23%"
BANKNIFTY,29-Mar-23,"40,093.05",46.20,0.12%,"40,198.00
 								39,971.00","40,083.78","3,057,000
 								122,280","1,225,361.15","2,334,750","-247,000
 -9.57%"
FEDERALBNK,27-Apr-23,130.30,0.40,0.31%,"130.50
 								129.15",129.98,"3,050,000
 								610","3,964.39","5,615,000","1,255,000
 28.78%"
FSL,29-Mar-23,111.85,0.80,0.72%,"113.35
 								111.60",112.40,"2,995,200
 								576","3,366.60","13,327,600","-234,000
 -1.73%"
UPL,29-Mar-23,715.30,3.90,0.55%,"717.95
 								712.85",715.45,"2,983,500
 								2,295","21,345.45","12,953,200","-1,757,600
 -11.95%"
HINDPETRO,29-Mar-23,245.60,-0.30,-0.12%,"246.80
 								243.85",245.13,"2,964,600
 								1,098","7,267.12","19,253,700","-429,300
 -2.18%"
BEL,27-Apr-23,92.95,-0.50,-0.54%,"94.00
 								92.60",93.09,"2,946,900
 								517","2,743.27","8,857,800","1,601,700
 22.07%"
PETRONET,29-Mar-23,233.30,-1.85,-0.79%,"238.60
 								232.30",234.41,"2,910,000
 								970","6,821.33","12,339,000","-96,000
 -0.77%"
LICHSGFIN,29-Mar-23,341.95,-3.40,-0.98%,"346.60
 								340.80",343.24,"2,906,000
 								1,453","9,974.55","12,246,000","358,000
 3.01%"
AUROPHARMA,29-Mar-23,480.20,10.25,2.18%,"480.70
 								466.75",475.51,"2,905,000
 								2,905","13,813.57","12,370,000","-219,000
 -1.74%"
INFY,27-Apr-23,"1,403.70",-1.85,-0.13%,"1,421.05
 								1,395.75","1,404.51","2,860,800
 								7,152","40,180.22","6,095,200","1,663,600
 37.54%"
NMDC,27-Apr-23,112.65,0.10,0.09%,"114.10
 								112.35",113.17,"2,848,500
 								633","3,223.65","7,092,000","1,147,500
 19.30%"
M&M,29-Mar-23,"1,169.85",3.80,0.33%,"1,183.55
 								1,164.10","1,173.57","2,786,000
 								3,980","32,695.66","13,860,000","44,800
 0.32%"
CIPLA,29-Mar-23,866.75,1.95,0.23%,"868.50
 								853.50",858.89,"2,766,400
 								4,256","23,760.33","15,000,050","-240,500
 -1.58%"
RBLBANK,27-Apr-23,144.75,1.95,1.37%,"146.50
 								142.95",145.05,"2,700,000
 								540","3,916.35","4,940,000","760,000
 18.18%"
AUBANK,29-Mar-23,582.35,2.45,0.42%,"586.65
 								577.05",582.96,"2,598,000
 								2,598","15,145.30","13,133,000","-215,000
 -1.61%"
LT,29-Mar-23,"2,207.80",-4.60,-0.21%,"2,241.85
 								2,206.25","2,224.99","2,532,600
 								8,442","56,350.10","7,427,100","-177,600
 -2.34%"
CANBK,27-Apr-23,287.05,0.65,0.23%,"290.65
 								286.40",288.22,"2,527,200
 								936","7,283.90","4,203,900","426,600
 11.29%"
HDFC,27-Apr-23,"2,603.30",-5.15,-0.20%,"2,612.00
 								2,589.35","2,597.89","2,462,700
 								8,209","63,978.24","4,125,000","2,302,800
 126.37%"
ABFRL,27-Apr-23,218.45,-1.95,-0.88%,"223.25
 								218.20",219.92,"2,462,200
 								947","5,414.87","5,109,000","1,755,000
 52.33%"
BHARTIARTL,27-Apr-23,764.50,0.45,0.06%,"768.85
 								760.80",763.64,"2,439,600
 								2,568","18,629.76","4,033,700","1,753,700
 76.92%"
HCLTECH,29-Mar-23,"1,084.60",-4.25,-0.39%,"1,107.15
 								1,081.75","1,089.27","2,366,000
 								3,380","25,772.13","9,562,700","-196,000
 -2.01%"
ADANIENT,29-Mar-23,"1,814.00",-20.15,-1.10%,"1,855.00
 								1,809.00","1,829.88","2,336,750
 								9,347","42,759.72","7,932,500","-212,500
 -2.61%"
CUB,29-Mar-23,129.55,0.45,0.35%,"130.85
 								128.40",129.99,"2,335,000
 								467","3,035.27","13,845,000","-320,000
 -2.26%"
CHOLAFIN,29-Mar-23,749.00,-9.10,-1.20%,"762.95
 								747.95",756.45,"2,323,750
 								1,859","17,578.01","9,626,250","-47,500
 -0.49%"
JSWSTEEL,29-Mar-23,663.95,-4.45,-0.67%,"673.30
 								661.10",666.12,"2,316,600
 								1,716","15,431.34","22,383,000","59,400
 0.27%"
BERGEPAINT,29-Mar-23,590.85,-2.60,-0.44%,"599.65
 								589.05",592.72,"2,284,700
 								2,077","13,541.87","7,106,000","204,600
 2.96%"
MUTHOOTFIN,27-Apr-23,954.05,-2.50,-0.26%,"961.00
 								948.05",956.45,"2,211,000
 								4,020","21,147.11","1,939,850","1,025,200
 112.09%"
IGL,29-Mar-23,441.15,-1.70,-0.38%,"443.90
 								437.05",440.09,"2,142,250
 								1,558","9,427.83","11,771,375","-11,000
 -0.09%"
WIPRO,27-Apr-23,369.45,-0.25,-0.07%,"372.35
 								368.45",369.92,"2,130,000
 								1,420","7,879.30","7,231,500","864,000
 13.57%"
HINDCOPPER,29-Mar-23,98.55,-0.15,-0.15%,"100.10
 								97.90",99.00,"2,102,400
 								438","2,081.38","17,985,600","129,600
 0.73%"
UPL,27-Apr-23,721.15,5.45,0.76%,"722.50
 								717.20",720.12,"2,000,700
 								1,539","14,407.44","3,051,100","1,674,400
 121.62%"
L&TFH,27-Apr-23,86.40,0.10,0.12%,"87.75
 								86.35",86.94,"1,981,128
 								222","1,722.39","5,961,232","722,844
 13.80%"
IDFCFIRSTB,25-May-23,56.00,0.15,0.27%,"56.50
 								55.50",55.92,"1,965,000
 								131","1,098.83","2,565,000","615,000
 31.54%"
TATACONSUM,29-Mar-23,711.25,8.70,1.24%,"719.30
 								704.10",713.65,"1,937,700
 								2,153","13,828.40","10,036,800","60,300
 0.60%"
DELTACORP,29-Mar-23,193.40,-3.45,-1.75%,"198.50
 								193.40",195.70,"1,937,600
 								692","3,791.88","14,310,800","-366,800
 -2.50%"
ITC,27-Apr-23,380.05,-0.25,-0.07%,"380.65
 								377.05",379.32,"1,916,800
 								1,198","7,270.81","8,312,000","464,000
 5.91%"
M&MFIN,27-Apr-23,231.05,-0.05,-0.02%,"237.50
 								230.90",233.79,"1,888,000
 								472","4,413.96","1,660,000","328,000
 24.62%"
TECHM,29-Mar-23,"1,101.20",4.60,0.42%,"1,110.80
 								1,097.15","1,103.44","1,854,600
 								3,091","20,464.40","10,285,200","-137,400
 -1.32%"
RELIANCE,27-Apr-23,"2,291.45",2.50,0.11%,"2,307.50
 								2,286.80","2,297.95","1,785,500
 								7,142","41,029.90","7,180,750","331,500
 4.84%"
BAJFINANCE,29-Mar-23,"5,840.55",114.85,2.01%,"5,871.00
 								5,739.70","5,831.74","1,748,250
 								13,986","101,953.39","4,931,125","-95,750
 -1.90%"
HINDALCO,27-Apr-23,395.05,2.30,0.59%,"399.70
 								391.80",395.96,"1,695,400
 								1,211","6,713.11","2,627,800","327,600
 14.24%"
HDFCLIFE,27-Apr-23,500.50,13.05,2.68%,"501.45
 								488.90",497.40,"1,675,300
 								1,523","8,332.94","2,114,200","295,900
 16.27%"
SUNPHARMA,29-Mar-23,974.45,15.75,1.64%,"975.50
 								959.40",968.30,"1,661,800
 								2,374","16,091.21","17,991,400","-46,200
 -0.26%"
INDUSTOWER,27-Apr-23,149.35,-1.35,-0.90%,"151.65
 								148.60",149.96,"1,654,800
 								591","2,481.54","5,535,600","610,400
 12.39%"
IEX,27-Apr-23,151.05,-0.80,-0.53%,"152.50
 								150.45",151.23,"1,646,250
 								439","2,489.62","4,788,750","360,000
 8.13%"
BSOFT,29-Mar-23,272.75,3.70,1.38%,"275.35
 								271.05",273.49,"1,628,000
 								814","4,452.42","6,582,000","-280,000
 -4.08%"
TVSMOTOR,29-Mar-23,"1,057.50",4.10,0.39%,"1,077.80
 								1,053.70","1,064.97","1,624,700
 								2,321","17,302.57","5,413,800","-76,300
 -1.39%"
EXIDEIND,29-Mar-23,178.35,-0.25,-0.14%,"180.70
 								177.85",179.27,"1,623,600
 								451","2,910.63","14,317,200","-176,400
 -1.22%"
BPCL,27-Apr-23,354.85,-6.10,-1.69%,"361.60
 								353.70",356.11,"1,598,400
 								888","5,692.06","1,535,400","111,600
 7.84%"
SBICARD,29-Mar-23,726.40,9.55,1.33%,"728.10
 								715.55",722.42,"1,589,600
 								1,987","11,483.59","8,627,200","-119,200
 -1.36%"
VOLTAS,29-Mar-23,846.95,6.50,0.77%,"851.75
 								836.55",845.12,"1,548,000
 								2,580","13,082.46","4,765,800","-453,000
 -8.68%"
POWERGRID,27-Apr-23,226.00,0.40,0.18%,"226.80
 								223.05",224.97,"1,530,900
 								567","3,444.07","5,562,000","575,100
 11.53%"
ZYDUSLIFE,29-Mar-23,480.40,1.20,0.25%,"483.55
 								474.85",479.67,"1,519,200
 								844","7,287.15","6,084,000","-9,000
 -0.15%"
PEL,29-Mar-23,674.40,-7.50,-1.10%,"690.20
 								672.85",681.42,"1,499,300
 								2,726","10,216.53","8,516,200","-183,150
 -2.11%"
DLF,27-Apr-23,370.35,-0.40,-0.11%,"374.10
 								370.05",372.28,"1,483,350
 								899","5,522.22","4,177,800","452,100
 12.13%"
GODREJCP,29-Mar-23,953.05,7.40,0.78%,"957.20
 								943.60",952.26,"1,479,000
 								1,479","14,083.93","5,232,000","-297,000
 -5.37%"
CANFINHOME,29-Mar-23,549.65,15.45,2.89%,"551.50
 								536.20",546.51,"1,448,850
 								1,486","7,918.11","3,533,400","143,325
 4.23%"
DABUR,29-Mar-23,540.20,6.35,1.19%,"542.90
 								532.15",539.29,"1,448,750
 								1,159","7,812.96","10,231,250","-147,500
 -1.42%"
HDFCBANK,25-May-23,"1,593.65",-2.55,-0.16%,"1,597.75
 								1,585.00","1,588.43","1,418,450
 								2,579","22,531.09","1,639,000","1,398,650
 581.92%"
BHARATFORG,29-Mar-23,785.80,4.05,0.52%,"794.90
 								783.15",786.16,"1,372,000
 								1,372","10,786.12","7,219,000","-220,000
 -2.96%"
BERGEPAINT,27-Apr-23,590.80,-1.85,-0.31%,"597.70
 								588.00",591.13,"1,360,700
 								1,237","8,043.51","2,343,000","1,002,100
 74.73%"
JUBLFOOD,27-Apr-23,450.45,1.05,0.23%,"452.30
 								438.50",447.92,"1,343,750
 								1,075","6,018.93","2,758,750","497,500
 22.00%"
GNFC,29-Mar-23,536.30,-0.15,-0.03%,"544.25
 								535.65",539.06,"1,341,600
 								1,032","7,232.03","6,925,100","-302,900
 -4.19%"
RAIN,29-Mar-23,156.10,0.55,0.35%,"157.45
 								155.20",156.23,"1,312,500
 								375","2,050.52","11,046,000","-161,000
 -1.44%"
TCS,29-Mar-23,"3,136.00",15.35,0.49%,"3,149.10
 								3,114.00","3,132.55","1,244,775
 								7,113","38,993.20","10,390,100","-155,400
 -1.47%"
AMBUJACEM,27-Apr-23,376.40,1.00,0.27%,"380.75
 								374.70",377.07,"1,236,600
 								687","4,662.85","6,012,000","543,600
 9.94%"
SUNTV,29-Mar-23,433.40,1.45,0.34%,"439.80
 								430.30",435.52,"1,203,000
 								802","5,239.31","8,692,500","34,500
 0.40%"
